Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
893590,"Diamond Dogs, Turquoise Days",Alastair Reynolds,"Reynolds, Alastair",,"=""0575075163""","=""9780575075160""",0,4.00,Gollancz,Paperback,231,2003,2001,,2025/05/02,"currently-reading, science-fiction, fiction","currently-reading (#1), science-fiction (#297), fiction (#320)",currently-reading,,,,1,0
8444621,Through the Language Glass: Why the World Looks Different in Other Languages,Guy Deutscher,"Deutscher, Guy",,"=""080508195X""","=""9780805081954""",3,3.91,Metropolitan Books,Hardcover,304,2010,2010,2025/08/05,2025/02/19,,,read,,,,1,0
56769571,Damascus Station,David McCloskey,"McCloskey, David",,"=""0393881040""","=""9780393881042""",2,4.17,W. W. Norton & Company,Hardcover,432,2021,2021,2025/07/29,2025/03/09,,,read,"interesting modern espionage thriller, it was great reading some of the intricate details and the cat and mouse games being played out in volatile zones. <br/><br/>Sadly the good parts were overruled by the cringe bs romance, and all the ongoing story threads simply being rendered useless towards the end: the caricature like villains have a sudden change of behaviour, of heart, of motivations, just to help fit the rushed ending and wasted space in the middle. <br/><br/>Good potential, but let down massively.",,,1,0
1455439,"Nightside the Long Sun (The Book of the Long Sun, #1)",Gene Wolfe,"Wolfe, Gene",,"=""0812516257""","=""9780812516258""",1,4.08,Tor Books,Mass Market Paperback,333,1993,1993,2025/07/24,2013/07/06,"fiction, pretentious, science-fiction","fiction (#319), pretentious (#5), science-fiction (#296)",read,The cranial fissure that appeared over the course of reading this pretentious dross was a mystery to me until I realized I had been bored out of my mind.,,,1,0
29397486,Conclave,Robert   Harris,"Harris, Robert",,"=""""","=""""",0,4.11,Cornerstone Digital,ebook,288,2016,2016,,2025/07/22,to-read,to-read (#281),to-read,,,,0,0
57432852,裏世界ピクニック６　Ｔは寺生まれのＴ,Iori Miyazawa,"Miyazawa, Iori",,"=""""","=""""",3,4.39,ハヤカワ文庫JA,Kindle Edition,263,2021,2021,,2025/07/14,"fiction, paranormal, horror, science-fiction","fiction (#318), paranormal (#16), horror (#8), science-fiction (#295)",read,,,,2,0
209544480,Classroom of the Elite: Year 2 (Light Novel) Vol. 9,Syougo Kinugasa,"Kinugasa, Syougo",Tomoseshunsaku,"=""""","=""9798888438718""",1,3.93,Airship,Paperback,480,2024,2023,2024/12/21,2024/12/20,light-novel,light-novel (#16),read,"Weak entry in the series. Almost no time spent on the actual exam and its strategies, most of it wasted on interpersonal drama. This feels like a filler.",,,1,0
57285078,ようこそ実力至上主義の教室へ 2年生編4 [Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Year 4],Syougo Kinugasa,"Kinugasa, Syougo","衣笠彰梧, Tomoseshunsaku, トモセシュンサク","=""4046801662""","=""9784046801661""",0,4.28,MF文庫J,Paperback,332,2021,2021,2023/06/18,2022/07/31,,,read,,,,1,0
44529367,"ようこそ実力至上主義の教室へ 7.5 [Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (Novel) 7.5] (Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e Light Novels, #7.5)",Syougo Kinugasa,"Kinugasa, Syougo",,"=""""","=""""",0,4.28,MF文庫J,Kindle Edition,270,2018,2018,2021/06/09,2021/06/04,,,read,,,,1,0
46040251,ようこそ実力至上主義の教室へ 9 [Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 9],Syougo Kinugasa,"Kinugasa, Syougo","衣笠彰梧, Tomoseshunsaku, トモセシュンサク","=""404065157X""","=""9784040651576""",0,4.22,MF文庫J,Paperback,264,2018,2018,2021/06/20,2021/06/20,,,read,,,,1,0
46040204,ようこそ実力至上主義の教室へ 8 [Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 8],Syougo Kinugasa,"Kinugasa, Syougo","衣笠彰梧, Tomoseshunsaku, トモセシュンサク","=""4040698614""","=""9784040698618""",0,3.98,MF文庫J,Paperback,328,2018,2018,2021/06/20,2021/06/20,,,read,,,,1,0
58776463,Otherside Picnic Volume 5: Hasshaku-sama Revival,Iori Miyazawa,"Miyazawa, Iori","shirakaba, Sean McCann, 宮澤 伊織","=""1718360061""","=""9781718360068""",3,4.44,J-Novel Club,Kindle Edition,200,2021,2020,2025/07/14,2025/07/12,"science-fiction, fantasy, horror","science-fiction (#294), fantasy (#320), horror (#7)",read,"Pretty good entry in the series, probably one of the better ones. It revisits places/concepts from previous books, and doesn't necessarily always <i>conclude</i> them, but does open up to a little more mystery for the future. The pace is a bit of slice of life, but not too slow that it's boring. It comes with the usual chaos and mess of visiting the otherside. ",,,1,0
60685342,"Monstress, Volume 7: Devourer",Marjorie M. Liu,"Liu, Marjorie M.",Sana Takeda,"=""1534323198""","=""9781534323193""",0,4.37,Image Comics,Paperback,178,2022,2022,2025/07/14,2025/07/14,,,read,,,,1,0
57285038,"Monstress, Volume 6: The Vow",Marjorie M. Liu,"Liu, Marjorie M.",Sana Takeda,"=""1534319158""","=""9781534319158""",0,4.41,Image Comics,Paperback,176,2021,2021,2025/07/14,2025/07/14,,,read,,,,1,0
52637764,"Monstress, Volume 5: Warchild",Marjorie M. Liu,"Liu, Marjorie M.",Sana Takeda,"=""1534316612""","=""9781534316614""",0,4.34,Image Comics,Paperback,176,2020,2020,2025/07/14,2025/07/14,,,read,,,,1,0
45899240,"Monstress, Volume 4: The Chosen",Marjorie M. Liu,"Liu, Marjorie M.",Sana Takeda,"=""1534313362""","=""9781534313361""",0,4.24,Image Comics,Paperback,176,2019,2019,2025/07/14,2025/07/14,,,read,,,,1,0
37491890,"Monstress, Volume 3: Haven",Marjorie M. Liu,"Liu, Marjorie M.",Sana Takeda,"=""1534306919""","=""9781534306912""",0,4.26,Image Comics,Paperback,152,2018,2018,2025/07/14,2025/07/14,,,read,,,,1,0
33540347,"Monstress, Volume 2: The Blood",Marjorie M. Liu,"Liu, Marjorie M.",Sana Takeda,"=""1534300414""","=""9781534300415""",0,4.29,Image Comics,Paperback,152,2017,2017,2025/07/14,2025/07/14,,,read,,,,1,0
55883882,"Monstress, Volume 1: Awakening",Marjorie M. Liu,"Liu, Marjorie M.",Sana Takeda,"=""1632157098""","=""9781632157096""",3,3.96,Image Comics,Paperback,192,2019,2016,2025/07/14,2024/12/06,,,read,,,,1,0
195853478,The Silence Factory,Bridget Collins,"Collins, Bridget",,"=""0063220016""","=""9780063220010""",2,3.45,William Morrow,Hardcover,384,2024,2024,2025/07/11,2025/06/13,,,read,,,,1,0
94671893,Dice T3,Hyunseok Yun,"Yun, Hyunseok",,"=""2902487266""","=""9782902487264""",0,4.23,NAZCA,Paperback,150,2021,,,2020/11/05,,,read,,,,2,0
94671882,Dice T2,Hyunseok Yun,"Yun, Hyunseok",,"=""2902487169""","=""9782902487165""",3,4.15,NAZCA,Paperback,150,2021,,2020/06/17,2025/07/08,,,read,,,,2,0
